task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion
arith,default,3,immediate,0,25,30,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 30
arith,default,3,immediate,1,90,94,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 94
arith,default,3,immediate,2,25,17,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 17
arith,default,3,immediate,3,64,42,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 42
arith,default,3,immediate,4,14,31,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 31
arith,default,3,immediate,5,34,25,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 25
arith,default,3,immediate,6,93,77,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 77
arith,default,3,immediate,7,88,60,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 60
arith,default,3,immediate,8,38,1,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1
arith,default,3,immediate,9,93,81,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 81
arith,default,3,immediate,10,26,43,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 43
arith,default,3,immediate,11,74,120,0,-1,0,0,stop,7,0,qwen3.6-27b,Answer: 120
arith,default,3,immediate,12,32,30,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 30
arith,default,3,immediate,13,70,61,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 61
arith,default,3,immediate,14,65,40,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 40
arith,default,3,immediate,15,41,35,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 35
arith,default,3,immediate,16,67,58,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 58
arith,default,3,immediate,17,73,71,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 71
arith,default,3,immediate,18,30,52,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 52
arith,default,3,immediate,19,10,10,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
arith,default,3,immediate,20,55,70,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 70
arith,default,3,immediate,21,53,100,0,-1,0,0,stop,7,0,qwen3.6-27b,Answer: 100
arith,default,3,immediate,22,85,90,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 90
arith,default,3,immediate,23,58,45,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 45
arith,default,3,immediate,24,57,25,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 25
arith,default,3,immediate,25,73,43,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 43
arith,default,3,immediate,26,79,79,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 79
arith,default,3,immediate,27,48,40,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 40
arith,default,3,immediate,28,62,72,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 72
arith,default,3,immediate,29,44,56,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 56
