task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion
arith,default,2,filler,0,20,20,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 20
arith,default,2,filler,1,65,54,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 54
arith,default,2,filler,2,50,70,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 70
arith,default,2,filler,3,33,39,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 39
arith,default,2,filler,4,81,81,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 81
arith,default,2,filler,5,95,92,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 92
arith,default,2,filler,6,94,94,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 94
arith,default,2,filler,7,74,74,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 74
arith,default,2,filler,8,31,48,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 48
arith,default,2,filler,9,67,67,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 67
arith,default,2,filler,10,44,65,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 65
arith,default,2,filler,11,55,55,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 55
arith,default,2,filler,12,73,63,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 63
arith,default,2,filler,13,34,34,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 34
arith,default,2,filler,14,78,78,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 78
arith,default,2,filler,15,97,98,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 98
arith,default,2,filler,16,39,39,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 39
arith,default,2,filler,17,58,42,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 42
arith,default,2,filler,18,85,85,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 85
arith,default,2,filler,19,41,42,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 42
arith,default,2,filler,20,57,57,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 57
arith,default,2,filler,21,43,26,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 26
arith,default,2,filler,22,43,102,0,-1,0,0,stop,7,0,qwen3.6-27b,Answer: 102
arith,default,2,filler,23,42,59,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 59
arith,default,2,filler,24,22,41,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 41
arith,default,2,filler,25,48,48,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 48
arith,default,2,filler,26,20,65,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 65
arith,default,2,filler,27,40,19,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 19
arith,default,2,filler,28,59,36,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 36
arith,default,2,filler,29,68,56,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 56
